2023/05/04 13:03:15.519 => OpenSerial: Com=6 BaudRate=256000, Success=1
2023/05/04 13:03:15.527 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 13:03:15.527 => protocol version = 1, send_recv buffer size = 64
2023/05/04 13:03:15.649 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 13:03:15.649 => protocol version = 1, send_recv buffer size = 64
2023/05/04 13:03:15.656 => CRadarProtocolProcess::UpdateVersion: CMDID(0x0000) Success
2023/05/04 13:03:15.656 => GetVersion Return: v1.4.4_32772.0
2023/05/04 13:03:20.141 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 13:03:20.141 => protocol version = 1, send_recv buffer size = 64
2023/05/04 13:03:20.270 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 13:03:20.270 => protocol version = 1, send_recv buffer size = 64
2023/05/04 13:03:20.776 => CRadarProtocolProcess::SendCommand: CMDID(0x0063) Success
2023/05/04 13:03:20.783 => CRadarProtocolProcess::CloseCmdMode: CMDID(0x00FE) Success
2023/05/04 13:03:20.791 => thread information, name=ABDData, tid=41736(0x0000a308)
2023/05/04 13:03:20.791 => thread create success, thread handle=0x000005ac, id=41736, name=ABDData
2023/05/04 13:03:29.710 => State=2, M_D=217, M_S=100, ML_D=056, ML_S=100, R_D=082
2023/05/04 13:03:29.813 => State=3, M_D=220, M_S=100, ML_D=217, ML_S=100, R_D=097
2023/05/04 13:03:29.913 => State=2, M_D=050, M_S=100, ML_D=220, ML_S=100, R_D=089
2023/05/04 13:03:30.010 => State=3, M_D=058, M_S=100, ML_D=050, ML_S=100, R_D=083
2023/05/04 13:03:30.113 => State=3, M_D=060, M_S=100, ML_D=058, ML_S=100, R_D=078
2023/05/04 13:03:30.210 => State=3, M_D=030, M_S=100, ML_D=060, ML_S=100, R_D=070
2023/05/04 13:03:30.310 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=063
2023/05/04 13:03:30.410 => State=3, M_D=067, M_S=100, ML_D=030, ML_S=100, R_D=061
2023/05/04 13:03:30.510 => State=3, M_D=087, M_S=100, ML_D=067, ML_S=100, R_D=062
2023/05/04 13:03:30.613 => State=3, M_D=078, M_S=100, ML_D=087, ML_S=100, R_D=062
2023/05/04 13:03:30.710 => State=3, M_D=072, M_S=100, ML_D=078, ML_S=100, R_D=062
2023/05/04 13:03:30.810 => State=3, M_D=072, M_S=100, ML_D=072, ML_S=100, R_D=062
2023/05/04 13:03:30.912 => State=3, M_D=069, M_S=100, ML_D=072, ML_S=100, R_D=061
2023/05/04 13:03:31.009 => State=3, M_D=163, M_S=100, ML_D=069, ML_S=100, R_D=072
2023/05/04 13:03:31.113 => State=3, M_D=055, M_S=100, ML_D=163, ML_S=100, R_D=067
2023/05/04 13:03:31.213 => State=3, M_D=058, M_S=100, ML_D=055, ML_S=100, R_D=064
2023/05/04 13:03:31.313 => State=3, M_D=090, M_S=100, ML_D=058, ML_S=100, R_D=065
2023/05/04 13:03:31.413 => State=3, M_D=059, M_S=100, ML_D=090, ML_S=100, R_D=062
2023/05/04 13:03:31.510 => State=3, M_D=066, M_S=100, ML_D=059, ML_S=100, R_D=061
2023/05/04 13:03:31.610 => State=3, M_D=066, M_S=100, ML_D=066, ML_S=100, R_D=060
2023/05/04 13:03:31.712 => State=2, M_D=382, M_S=079, ML_D=066, ML_S=100, R_D=098
2023/05/04 13:03:31.810 => State=2, M_D=080, M_S=100, ML_D=382, ML_S=100, R_D=094
2023/05/04 13:03:31.913 => State=3, M_D=075, M_S=100, ML_D=080, ML_S=100, R_D=090
2023/05/04 13:03:32.013 => State=3, M_D=069, M_S=100, ML_D=075, ML_S=100, R_D=085
2023/05/04 13:03:32.112 => State=3, M_D=066, M_S=100, ML_D=069, ML_S=100, R_D=081
2023/05/04 13:03:32.210 => State=3, M_D=070, M_S=100, ML_D=066, ML_S=100, R_D=077
2023/05/04 13:03:32.313 => State=3, M_D=086, M_S=100, ML_D=070, ML_S=100, R_D=076
2023/05/04 13:03:32.413 => State=3, M_D=030, M_S=100, ML_D=086, ML_S=100, R_D=068
2023/05/04 13:03:32.513 => State=2, M_D=165, M_S=100, ML_D=030, ML_S=100, R_D=078
2023/05/04 13:03:32.611 => State=3, M_D=078, M_S=100, ML_D=165, ML_S=100, R_D=076
2023/05/04 13:03:32.713 => State=3, M_D=159, M_S=100, ML_D=078, ML_S=100, R_D=084
2023/05/04 13:03:32.810 => State=3, M_D=150, M_S=100, ML_D=159, ML_S=100, R_D=090
2023/05/04 13:03:32.910 => State=3, M_D=127, M_S=100, ML_D=150, ML_S=100, R_D=092
2023/05/04 13:03:33.009 => State=3, M_D=070, M_S=100, ML_D=127, ML_S=100, R_D=087
2023/05/04 13:03:33.112 => State=3, M_D=096, M_S=100, ML_D=070, ML_S=100, R_D=086
2023/05/04 13:03:33.213 => State=3, M_D=075, M_S=100, ML_D=096, ML_S=100, R_D=083
