2022/06/30 11:36:59.272 => OpenSerial: Com=16 BaudRate=256000, Success=1
2022/06/30 11:36:59.309 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/30 11:36:59.309 => protocol version = 1, send_recv buffer size = 64
2022/06/30 11:36:59.414 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/30 11:36:59.415 => protocol version = 1, send_recv buffer size = 64
2022/06/30 11:36:59.431 => CRadarProtocolProcess::UpdateVersion: CMDID(0x0000) Success
2022/06/30 11:36:59.431 => GetVersion Return: v1.4.4_32772.0
2022/06/30 11:37:00.654 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/30 11:37:00.654 => protocol version = 1, send_recv buffer size = 64
2022/06/30 11:37:00.772 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2022/06/30 11:37:00.772 => protocol version = 1, send_recv buffer size = 64
2022/06/30 11:37:01.332 => CRadarProtocolProcess::SendCommand: CMDID(0x0063) Success
2022/06/30 11:37:01.337 => CRadarProtocolProcess::CloseCmdMode: CMDID(0x00FE) Success
2022/06/30 11:37:01.351 => thread create success, thread handle=0x00000870, id=18228, name=ABDData
2022/06/30 11:37:01.351 => thread information, name=ABDData, tid=18228(0x00004734)
2022/06/30 11:37:13.530 => State=3, M_D=063, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:13.581 => State=3, M_D=059, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:13.696 => State=3, M_D=047, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:13.811 => State=3, M_D=066, M_S=100, ML_D=000, ML_S=100, R_D=031
2022/06/30 11:37:13.916 => State=3, M_D=044, M_S=100, ML_D=000, ML_S=100, R_D=030
2022/06/30 11:37:14.031 => State=3, M_D=041, M_S=100, ML_D=000, ML_S=100, R_D=030
2022/06/30 11:37:14.129 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:14.245 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:14.296 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:14.411 => State=3, M_D=072, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:14.488 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:14.604 => State=3, M_D=087, M_S=100, ML_D=000, ML_S=100, R_D=031
2022/06/30 11:37:14.672 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:14.724 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:14.775 => State=3, M_D=058, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:14.890 => State=2, M_D=058, M_S=000, ML_D=000, ML_S=100, R_D=030
2022/06/30 11:37:14.982 => State=3, M_D=066, M_S=100, ML_D=000, ML_S=100, R_D=033
2022/06/30 11:37:15.098 => State=3, M_D=063, M_S=100, ML_D=000, ML_S=100, R_D=034
2022/06/30 11:37:15.148 => State=3, M_D=069, M_S=100, ML_D=000, ML_S=100, R_D=036
2022/06/30 11:37:15.199 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=033
2022/06/30 11:37:15.315 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=030
2022/06/30 11:37:15.402 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:15.517 => State=3, M_D=076, M_S=100, ML_D=000, ML_S=100, R_D=032
2022/06/30 11:37:15.567 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:15.683 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:15.799 => State=3, M_D=041, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:15.849 => State=3, M_D=077, M_S=100, ML_D=000, ML_S=100, R_D=031
2022/06/30 11:37:15.965 => State=3, M_D=077, M_S=100, ML_D=000, ML_S=100, R_D=034
2022/06/30 11:37:16.080 => State=3, M_D=076, M_S=100, ML_D=000, ML_S=100, R_D=037
2022/06/30 11:37:16.131 => State=3, M_D=070, M_S=100, ML_D=000, ML_S=100, R_D=039
2022/06/30 11:37:16.190 => State=3, M_D=079, M_S=100, ML_D=000, ML_S=100, R_D=041
2022/06/30 11:37:16.305 => State=3, M_D=074, M_S=100, ML_D=000, ML_S=100, R_D=043
2022/06/30 11:37:16.373 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=039
2022/06/30 11:37:16.424 => State=3, M_D=072, M_S=100, ML_D=000, ML_S=100, R_D=041
2022/06/30 11:37:16.475 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=037
2022/06/30 11:37:16.589 => State=3, M_D=045, M_S=100, ML_D=000, ML_S=100, R_D=036
2022/06/30 11:37:16.672 => State=3, M_D=069, M_S=100, ML_D=000, ML_S=100, R_D=038
2022/06/30 11:37:16.788 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=035
2022/06/30 11:37:16.838 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=032
2022/06/30 11:37:16.955 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:17.068 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:17.119 => State=3, M_D=056, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:17.235 => State=3, M_D=043, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:17.350 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:17.401 => State=3, M_D=045, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:17.516 => State=3, M_D=050, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:17.631 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:17.745 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:17.859 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:17.909 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:18.026 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:18.141 => State=3, M_D=062, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:18.192 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:18.247 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:18.361 => State=3, M_D=059, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:18.423 => State=3, M_D=041, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:18.474 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:18.588 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:18.639 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:18.690 => State=3, M_D=050, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:18.806 => State=3, M_D=050, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:18.921 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:19.021 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:19.096 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:19.211 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:19.263 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:19.313 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:19.427 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:19.522 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:19.637 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:19.703 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:19.754 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:19.869 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:19.985 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:20.036 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:20.151 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:20.266 => State=3, M_D=058, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:20.317 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:20.432 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:20.546 => State=3, M_D=064, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:37:20.598 => State=3, M_D=030, M_S=100, ML_D=000, ML_S=100, R_D=000
2022/06/30 11:41:26.462 => thread exit, name=ABDData, tid=18228(0x00004734)
2022/06/30 11:41:26.462 => Cancel Read Data
2022/06/30 11:41:26.462 => prepare exit thread..., name=ABDData, tid=18228(0x00004734)
2022/06/30 11:41:26.462 => thread exit over, name=ABDData, tid=18228(0x00004734)
